"LZM_Index","Title_Unit","Course_Formats","Language","Date","Version","License","RDMT_Proficiency_Level","LZM_Learning_Objective","Learning_Ressource","PID_URL","Consortia","Learning_Methods","Acessibility","FAIR","Duration","P_Libraries","P_Language","Datatypes","Tool_Software","Dataformat_Course","Plattform_Implementation","","","","","","","","","","","","",""
"Data analysis","Forschungsdaten analysieren","Online; self-paced","de","2024","1","CC BY 4.0 NC","NN","NN","NN","https://zenodo.org/records/11197797","BERD@NFDI","NN","NN","NN","90min","NN","NN","NN","NN","PDF","NN","","","","","","","","","","","","",""
"Data formats","Turning PDFs into Research Data","Online course with weekly meetings","en","2025","NN","CC BY 4.0 NC","NN","NN","Videos; links to extern ressources (text)","https://berd-nfdi.github.io/turning-pdfs-into-research-data.io/","BERD@NFDI","NN","NN","NN","5 hours 15 min","NN","Python","NN","R; Python"," Youtube Videos","NN","","","","","","","","","","","","",""
"Programming","Data Visualization in R","Online; self-paced","en","2025","NN","NN","NN","NN","Video; Markdown; R-Code","https://www.datasciencewithr.education/VirtualClassroom/tutorial3.html","BERD@NFDI","NN","NN","NN","NN","NN","NN","NN","R-Studio","Markdown; R-Code; csv; PDF","NN","","","","","","","","","","","","",""
"Programming","II. TUTORIAL: DATA MANIPULATION IN R","Online; self-paced","en","RDMT:2021","NN","NN","Introduction","NN","Video; Markdown; R-Code; PDF","https://www.datasciencewithr.education/VirtualClassroom","BERD@NFDI","NN","NN","NN","NN","NN","NN","NN","R-Studio","Markdown; R-Code; csv; PDF","NN","","","","","","","","","","","","",""
"Programming","IV. TUTORIAL: INTRODUCTION TO PANDAS","Online; self-paced","en","RDMT:2021","NN","NN","Advanced","NN","Jupyter Notebook; Video","https://datasciencewithpython.education/VirtualClassroom/","BERD@NFDI","NN","NN","NN","NN","pandas","Statistical operators","NN","Anaconda","NN","NN","","","","","","","","","","","","",""
"Programming","IX. TUTORIAL: LIBRARIES HANDLING THE WEB","Online; self-paced","en","RDMT:2021","NN","NN","Advanced","NN","Jupyter Notebook; Video","https://datasciencewithpython.education/VirtualClassroom/tutorial9.html","BERD@NFDI","NN","NN","NN","NN","scrapy","NN","NN","Anaconda","NN","NN","","","","","","","","","","","","",""
"Programming","V. TUTORIAL: DATA EXPLORATION IN PANDAS","Online; self-paced","en","2021","NN","NN","Advanced","NN","Jupyter Notebook; Video","https://datasciencewithpython.education/VirtualClassroom/tutorial5.html","BERD@NFDI","NN","NN","NN","NN","pandas","NN","Text","Anaconda","NN","NN","","","","","","","","","","","","",""
"Programming","VI. TUTORIAL: VISUALISATION WITH MATPLOTLIB","Online; self-paced","en","2021","NN","NN","Advanced","NN","Jupyter Notebook; Video","https://www.datasciencewithr.education/VirtualClassroom/tutorial6.html","BERD@NFDI","NN","NN","NN","NN","Matplotlib","NN","Geospatial data","Anaconda","NN","NN","","","","","","","","","","","","",""
"Programming","VII. TUTORIAL: ADVANCED PLOTTING","Online; self-paced","en","2021","NN","NN","Advanced","NN","Jupyter Notebook; Video","https://datasciencewithpython.education/VirtualClassroom/tutorial7.html","BERD@NFDI","NN","NN","NN","NN","Seaborn","NN","NN","Anaconda","NN","NN","","","","","","","","","","","","",""
"Programming","VIII. TUTORIAL: LIBRARIES NUMPY AND SCIPY","Online; self-paced","en","2021","NN","NN","Advanced","NN","Jupyter Notebook; Video","https://datasciencewithpython.education/VirtualClassroom/tutorial8.html","BERD@NFDI","NN","NN","NN","NN","numpy; scipy","NN","NN","Anaconda","NN","NN","","","","","","","","","","","","",""
"Programming","X. TUTORIAL: LIBRARIES MACHINE LEARNING","Online; self-paced","en","RDMT:2021","NN","NN","Advanced","NN","Jupyter Notebook; Video","https://datasciencewithpython.education/VirtualClassroom/tutorial10.html","BERD@NFDI","NN","NN","NN","NN","NN","NN","NN","Anaconda","NN","NN","","","","","","","","","","","","",""
"Research data life cycle","Data Management","Online; self-paced","en","2025","NN","NN","Advanced","NN","Video; Markdown; R-Code","https://www.datasciencewithr.education/VirtualClassroom/tutorial4.html","BERD@NFDI","NN","NN","NN","NN","NN","NN","NN","R-Studio","Markdown; R-Code; csv; PDF","NN","","","","","","","","","","","","",""
"Topics","EconData Workshop – Mannheim","Workshop","en","2025","NN","NN","NN","NN","NN","https://www.berd-nfdi.de/berd-academy/berd-unconference-workshop-mannheim/","BERD@NFDI","NN","NN","NN","NN","NN","NN","NN","NN","NN","NN","","","","","","","","","","","","",""
